county_desc,precinct_code,precinct_name,candidate_name,candidate_party_lbl,cnt,num_votes
MECKLENBURG,001,PCT 001,Dan McCready,DEM,5,744
MECKLENBURG,001,PCT 001,Jeff Scott,LIB,5,12
MECKLENBURG,001,PCT 001,Mark Harris,REP,5,394
MECKLENBURG,002,PCT 002,Dan McCready,DEM,5,146
MECKLENBURG,002,PCT 002,Jeff Scott,LIB,5,5
MECKLENBURG,002,PCT 002,Mark Harris,REP,5,28
MECKLENBURG,008,PCT 008,Dan McCready,DEM,5,1029
MECKLENBURG,008,PCT 008,Jeff Scott,LIB,5,19
MECKLENBURG,008,PCT 008,Mark Harris,REP,5,685
MECKLENBURG,018,PCT 018,Dan McCready,DEM,5,689
MECKLENBURG,018,PCT 018,Jeff Scott,LIB,5,19
MECKLENBURG,018,PCT 018,Mark Harris,REP,5,536
MECKLENBURG,019,PCT 019,Dan McCready,DEM,5,781
MECKLENBURG,019,PCT 019,Jeff Scott,LIB,5,15
MECKLENBURG,019,PCT 019,Mark Harris,REP,5,476
MECKLENBURG,032,PCT 032,Dan McCready,DEM,5,832
MECKLENBURG,032,PCT 032,Jeff Scott,LIB,5,12
MECKLENBURG,032,PCT 032,Mark Harris,REP,5,680
MECKLENBURG,048,PCT 048,Dan McCready,DEM,5,799
MECKLENBURG,048,PCT 048,Jeff Scott,LIB,5,23
MECKLENBURG,048,PCT 048,Mark Harris,REP,5,637
MECKLENBURG,057,PCT 057,Dan McCready,DEM,5,941
MECKLENBURG,057,PCT 057,Jeff Scott,LIB,5,31
MECKLENBURG,057,PCT 057,Mark Harris,REP,5,564
MECKLENBURG,069,PCT 069,Dan McCready,DEM,5,1516
MECKLENBURG,069,PCT 069,Jeff Scott,LIB,5,47
MECKLENBURG,069,PCT 069,Mark Harris,REP,5,1283
MECKLENBURG,070,PCT 070,Dan McCready,DEM,5,927
MECKLENBURG,070,PCT 070,Jeff Scott,LIB,5,15
MECKLENBURG,070,PCT 070,Mark Harris,REP,5,696
MECKLENBURG,071,PCT 071,Dan McCready,DEM,5,663
MECKLENBURG,071,PCT 071,Jeff Scott,LIB,5,19
MECKLENBURG,071,PCT 071,Mark Harris,REP,5,567
MECKLENBURG,072,PCT 072,Dan McCready,DEM,5,660
MECKLENBURG,072,PCT 072,Jeff Scott,LIB,5,15
MECKLENBURG,072,PCT 072,Mark Harris,REP,5,397
MECKLENBURG,073,PCT 073,Dan McCready,DEM,5,716
MECKLENBURG,073,PCT 073,Jeff Scott,LIB,5,25
MECKLENBURG,073,PCT 073,Mark Harris,REP,5,437
MECKLENBURG,074,PCT 074,Dan McCready,DEM,5,1213
MECKLENBURG,074,PCT 074,Jeff Scott,LIB,5,38
MECKLENBURG,074,PCT 074,Mark Harris,REP,5,840
MECKLENBURG,075,PCT 075,Dan McCready,DEM,5,1269
MECKLENBURG,075,PCT 075,Jeff Scott,LIB,5,30
MECKLENBURG,075,PCT 075,Mark Harris,REP,5,993
MECKLENBURG,076,PCT 076,Dan McCready,DEM,5,1202
MECKLENBURG,076,PCT 076,Jeff Scott,LIB,5,36
MECKLENBURG,076,PCT 076,Mark Harris,REP,5,777
MECKLENBURG,086,PCT 086,Dan McCready,DEM,5,796
MECKLENBURG,086,PCT 086,Jeff Scott,LIB,5,9
MECKLENBURG,086,PCT 086,Mark Harris,REP,5,738
MECKLENBURG,090,PCT 090,Dan McCready,DEM,5,629
MECKLENBURG,090,PCT 090,Jeff Scott,LIB,5,23
MECKLENBURG,090,PCT 090,Mark Harris,REP,5,435
MECKLENBURG,091,PCT 091,Dan McCready,DEM,5,1643
MECKLENBURG,091,PCT 091,Jeff Scott,LIB,5,43
MECKLENBURG,091,PCT 091,Mark Harris,REP,5,1357
MECKLENBURG,092,PCT 092,Dan McCready,DEM,5,1117
MECKLENBURG,092,PCT 092,Jeff Scott,LIB,5,33
MECKLENBURG,092,PCT 092,Mark Harris,REP,5,837
